gene_name,1cell_A.x,1cell_B.x,2cell_A.x,2cell_B.x,1cell_A.y,1cell_B.y,2cell_B.y,2cell_A.y
F10C2.5,256,388,153,59,16,13,24,25
dars-2,615,644,322,190,26,34,6,5
mat-3,470,1263,621,143,48,32,55,38
nemp-1,2098,5573,1846,558,145,150,103,109
sod-2,2166,4600,1850,661,70,101,101,78
F10D11.2,2847,3073,2102,677,161,109,27,32
F10D11.5,2,3,0,0,1,1,1,1
F10D2.10,11,56,35,13,2,2,1,1
ugt-40,0,0,1,0,1,1,1,1
F10D7.1,0,2,0,0,1,1,1,1
F10D7.2,125,321,131,74,9,10,15,23
F10D7.3,39,31,17,8,3,1,1,2
F10D7.5,323,1189,426,94,58,62,32,36
F10E7.1,0,6,1,0,1,1,1,1
F10E7.11,5,0,0,0,1,1,1,1
F10E7.2,664,665,219,141,35,18,8,16
spon-1,6,8,0,0,1,2,1,1
F10E7.5,1562,1335,1341,651,65,88,5,6
F10E7.6,364,368,321,134,20,26,6,8
rpl-33,1043,1204,787,403,26,19,3,6
farl-11,1098,1178,688,218,123,133,6,11
F10E7.9,0,17,3,2,2,1,1,1
F10E9.10,7,0,0,0,1,1,1,1
F10E9.11,633,496,483,329,40,34,6,11
F10E9.2,4,4,3,0,1,1,2,1
F10E9.3,2493,2593,1799,526,123,123,76,59
F10E9.4,895,1082,660,350,44,50,15,10
F10E9.5,939,1398,955,437,80,59,43,48
mig-10,123,126,78,38,11,10,7,3
F10E9.7,746,539,676,345,37,34,9,5
sas-4,269,587,239,75,36,25,32,9
sel-2,1424,1714,923,420,177,294,17,35
lips-3,1,3,0,0,1,1,1,1
lron-5,0,0,0,2,1,1,1,1
pqn-29,8,9,1,0,1,1,1,2
F10G2.1,0,0,2,0,1,1,1,1
F10G2.2,0,2,0,0,1,1,1,1
F10G2.4,129,166,117,42,9,1,5,4
tag-151,684,805,422,172,47,53,5,6
F10G7.10,600,1724,494,233,148,94,46,65
tsn-1,699,930,194,116,137,235,1,9
unc-85,1771,6506,1517,388,49,38,154,112
scc-1,963,2447,876,270,69,54,95,69
F10G7.5,329,979,375,120,18,20,4,10
sre-39,0,1,0,0,1,1,1,1
rpn-5,3287,6806,2811,850,231,288,197,172
F10G7.9,847,1597,568,224,110,74,48,34
rae-1,533,2185,847,144,123,87,219,200
eak-6,0,1,0,0,1,1,1,1
ncs-2,184,347,165,15,16,14,23,28
nubp-1,352,340,189,95,14,17,5,10
ercc-1,1044,2120,843,340,25,32,7,9
F10G8.8,29,92,32,5,10,12,13,8
F10G8.9,114,258,132,58,12,10,17,11
F11A1.2,0,0,0,1,1,1,1,1
lex-1,1672,5582,1768,453,328,251,359,320
repo-1,1124,2317,1147,380,55,61,52,54
mig-32,2386,3084,1878,787,144,135,65,51
mon-2,324,786,392,92,63,71,31,40
F11A10.5,3137,2628,2002,861,185,221,9,14
F11A10.6,176,252,170,70,7,6,1,2
rbm-34,338,342,216,106,25,31,7,11
cpsf-4,2264,2218,1669,894,101,88,13,35
eif-2Bdelta,429,565,447,197,92,128,6,4
F11A5.18,1,0,7,3,1,1,1,1
irld-26,3,0,2,0,1,1,1,1
F11A5.9,175,730,208,68,18,12,37,33
F11A6.15,0,2,1,0,1,1,1,1
kpc-1,50,60,40,13,4,4,1,3
scrm-4,85,98,34,24,6,4,1,3
F11C1.1,120,71,54,25,7,12,3,2
mff-1,102,175,115,43,2,5,1,1
vwa-8,585,1046,363,195,54,42,18,29
nhr-25,6,14,1,0,1,1,1,2
F11C1.7,70,212,84,33,2,1,3,1
F11C3.1,10,13,2,7,1,1,1,1
unc-122,0,0,6,0,1,1,1,1
unc-54,2,3,0,1,11,1,1,1
crb-1,38,33,13,10,5,5,1,4
F11D11.3,0,1,0,0,1,1,1,1
F11D11.6,0,0,2,0,1,1,1,1
F11D5.1,42,88,55,37,6,5,4,4
ddr-2,0,2,5,1,3,3,1,1
elo-2,59,41,35,16,2,7,1,1
F11E6.6,1,0,0,0,1,1,1,1
F11E6.7,5081,6144,3734,996,384,424,489,589
F11E6.8,2,3,7,0,1,1,1,1
F11F1.1,0,3,0,0,1,1,1,1
gst-8,2,4,2,0,1,2,1,1
col-20,10,0,0,0,2,1,1,1
gst-7,6338,10645,5761,2651,111,147,41,42
F11G11.4,0,0,0,2,1,1,1,1
F11G11.5,1142,1756,926,230,51,33,41,44
dnj-9,730,1009,566,192,73,91,35,40
rfl-1,957,1134,682,337,42,48,15,8
lgc-38,3,0,2,0,1,1,1,1
col-8,8,3,0,5,2,1,1,1
cyk-1,227,647,240,89,42,54,12,13
F12A10.7,2,1,1,0,1,1,1,1
F12A10.8,468,492,182,108,26,34,1,1
F12A10.9,2,4,0,0,1,1,1,1
abt-2,1,17,15,2,1,1,1,2
slc-17.6,2,1,4,2,1,1,3,1
F12E12.1,561,580,481,257,34,34,17,22
F12E12.11,25,44,9,8,1,2,3,1
bath-31,5,14,2,0,1,1,1,1
sdz-12,0,0,2,0,1,1,1,1
F12E12.6,2,0,0,0,1,1,1,1
fbxb-91,0,6,0,0,1,1,1,1
fbxb-92,9,0,0,0,1,1,1,1
exp-2,0,0,0,1,1,1,1,1
F12F6.1,1368,4420,1562,361,198,194,265,250
rib-1,264,414,207,93,21,27,9,13
srgp-1,4770,4635,3303,1385,358,575,16,34
sec-24.1,1234,1722,780,309,169,203,6,35
F12F6.7,1199,2538,1099,324,92,69,48,66
F13A2.4,49,14,30,18,1,2,1,1
gst-44,126,113,83,31,4,2,1,1
F13A7.11,12,32,3,1,1,2,1,1
sre-36,0,3,1,0,1,1,1,1
F13A7.14,782,1043,537,245,43,39,11,15
srd-63,0,0,0,1,1,1,1,1
tir-1,39,40,31,4,1,2,2,3
rpl-3,804,413,584,281,33,25,1,3
F13B12.1,4697,10267,3530,1282,185,152,214,153
F13B12.6,254,473,254,101,137,146,3,7
F13B6.1,1,10,7,4,1,2,1,1
F13B9.1,876,1992,717,216,125,128,75,55
ksr-1,113,502,186,30,5,9,8,8
fis-2,521,697,330,211,14,10,2,9
F13C5.1,47,62,37,17,5,6,1,1
F13C5.2,110,219,33,17,7,13,6,5
hbl-1,2,13,14,1,1,8,1,1
F13D12.10,0,1,0,0,2,1,1,1
ldh-1,949,1092,601,387,33,49,1,13
F13D12.3,0,0,2,0,1,1,1,1
alh-8,859,915,656,335,26,41,1,7
F13D12.5,1305,1016,587,313,30,51,4,5
gpb-1,123,940,259,34,71,67,63,72
F13D12.8,13,11,2,2,1,1,1,1
F13D12.9,3,13,6,0,1,3,1,1
F13D2.1,1,3,3,1,2,1,1,1
F13E6.1,300,390,301,84,12,13,19,19
phf-31,255,356,156,63,4,6,7,3
yap-1,2,9,8,1,2,4,1,1
plpp-1.3,164,374,185,56,19,14,23,23
rhgf-1,0,1,0,0,1,2,4,1
F13E9.1,651,627,377,163,26,42,5,5
F13E9.11,5,13,15,2,1,1,1,2
sdz-13,0,0,0,1,1,1,1,1
dmd-6,372,583,356,58,21,26,7,16
ztf-2,0,0,4,0,1,1,3,1
F13G3.10,759,750,687,429,29,80,6,4
mrpl-13,313,212,221,83,16,19,2,3
srd-53,0,2,0,0,1,1,1,1
F13G3.3,0,6,0,0,1,1,1,1
dylt-1,553,1000,576,187,24,37,16,5
ttx-7,1105,2797,1713,392,46,53,124,107
F13G3.6,199,339,171,65,7,10,2,1
F13G3.7,711,1443,749,168,66,51,54,44
eat-5,1,8,1,0,1,1,1,1
mif-3,528,473,443,260,16,14,1,3
ndx-9,463,630,385,202,23,48,8,21
F13H10.3,727,2027,801,128,152,120,209,180
mogs-1,1768,4444,1603,586,170,124,174,166
F13H10.5,11,0,3,1,1,1,1,1
F13H10.6,3,8,0,0,1,1,1,1
F13H10.8,505,578,475,129,17,15,9,7
F13H10.9,20,20,12,0,3,1,1,1
bcl-11,1,1,0,0,1,1,1,1
F13H6.3,176,165,112,52,11,11,6,8
F13H6.5,18,25,38,4,4,2,1,2
bpl-1,122,154,36,23,8,10,1,1
F13H8.1,0,1,0,0,1,1,1,1
F13H8.2,1001,1069,522,267,85,100,4,4
nmgp-1,3,16,1,0,2,2,1,1
F13H8.5,0,6,1,0,1,1,1,1
F13H8.6,0,4,0,0,1,1,1,1
F13H8.8,26,71,31,3,3,2,1,1
F13H8.9,51,67,60,23,4,5,1,2
F14B4.1,20,49,15,7,3,6,3,2
hxk-1,5087,5134,2140,1083,254,305,13,32
rpoa-2,1262,1472,796,267,129,161,9,39
sdz-14,2,23,0,1,2,1,1,1
F14B6.2,8,18,8,4,3,1,1,3
F14B6.3,65,79,37,37,4,3,1,3
sid-5,104,138,71,25,2,2,3,1
F14D12.1,14,7,8,3,4,3,1,2
unc-97,163,484,148,47,8,9,5,5
sulp-2,1,0,0,0,1,1,1,1
octr-1,0,2,1,0,1,1,1,1
bath-27,309,233,120,118,21,13,2,1
F14D2.11,136,149,68,31,5,8,6,12
bath-30,770,482,557,275,27,37,3,4
bath-28,240,237,144,73,13,15,10,8
F14D2.14,19,14,1,4,1,3,1,2
F14D2.15,138,102,145,66,12,3,1,2
F14D2.19,0,0,1,0,1,1,1,1
lido-14,19,8,0,5,1,1,1,1
bath-29,300,238,207,103,11,10,8,4
F14D2.5,10,1,1,1,1,1,1,1
F14D2.8,26,24,6,19,3,1,1,1
F14D7.2,2051,5213,1874,623,111,146,208,142
F14D7.6,3,3,2,1,1,1,1,1
F14D7.8,0,2,0,0,1,1,1,1
F14E5.2,2530,3877,1959,562,270,297,287,212
acp-2,1,0,0,0,1,1,1,1
lips-10,4,10,1,0,1,1,1,1
shw-1,42,170,56,15,4,6,7,4
git-1,582,772,324,85,50,35,47,44
mboa-7,320,344,264,122,22,17,1,2
ntr-2,35,26,1,0,1,1,2,3
mrp-5,355,535,358,71,52,43,34,55
str-61,0,16,0,0,1,1,1,1
srw-36,1,0,0,0,1,1,1,1
F14F9.4,14,6,4,5,3,1,1,1
F14F9.5,0,0,0,3,1,1,1,1
F14F9.8,0,2,0,0,1,1,1,1
F14H12.3,0,0,1,0,1,1,1,1
cst-1,77,86,75,34,1,2,4,3
F14H3.3,384,696,354,121,38,37,87,63
F14H3.4,859,1669,671,226,85,59,108,133
F14H3.5,361,977,418,135,30,27,42,37
F14H3.6,8012,18485,5678,1489,267,248,581,515
obr-2,149,189,102,56,6,6,3,2
cng-1,1,3,0,0,1,1,1,1
sre-38,2,0,0,0,1,1,1,1
F15A4.10,147,272,151,118,5,3,20,6
tag-281,66,46,51,37,9,5,2,4
tag-280,73,92,100,63,1,8,1,1
fbxb-102,0,0,0,1,1,1,1,1
F15A4.2,127,161,128,49,3,6,3,5
srg-17,3,0,0,0,1,1,1,1
arrd-9,0,2,0,0,1,1,1,1
F15A8.6,4,0,0,0,1,1,1,1
nstp-2,1146,771,497,258,63,49,1,1
drh-1,444,1536,467,101,70,47,87,71
F15B10.3,121,157,55,12,3,3,4,5
F15B9.10,655,576,352,177,46,38,49,40
inft-2,480,1423,561,147,117,102,58,77
fmi-1,0,8,0,0,1,3,1,1
F15B9.8,0,0,1,0,1,1,1,1
sem-4,0,4,1,0,2,2,1,1
ubql-1,1610,10553,2178,361,138,109,213,170
dys-1,231,318,114,59,37,30,14,12
F15D3.4,0,12,1,1,1,2,1,1
F15D3.6,392,441,285,168,70,52,1,2
timm-23,474,318,298,161,12,16,1,4
pals-1,5,0,0,0,1,1,1,1
btf-1,723,1036,455,133,69,64,27,26
F15D4.2,564,672,283,203,6,11,11,12
romo-1,245,294,193,167,40,50,4,1
F15D4.4,3,13,2,2,1,1,1,1
flp-16,1,3,0,0,1,1,1,1
set-9,417,620,215,136,100,130,17,34
lgc-22,0,3,0,0,1,1,1,1
F15E6.3,2,0,0,0,1,1,1,1
F15E6.9,0,8,0,0,1,1,1,1
col-12,2,0,0,0,1,1,1,1
apc-10,638,672,574,287,17,17,2,5
sri-16,3,3,4,0,1,1,1,1
F16A11.1,582,2464,689,110,133,87,158,132
rtcb-1,784,525,388,224,49,57,3,1
ppfr-1,334,1903,492,89,244,239,205,226
F16B12.4,77,61,39,30,8,10,4,6
F16B12.6,1068,2650,939,360,167,129,152,188
nhr-177,1,0,0,1,1,1,1,1
F16B4.2,14,11,2,9,3,5,1,1
cdc-25.2,301,613,419,153,93,72,48,51
nhr-178,0,3,0,0,1,1,1,1
F16C3.1,19,29,20,2,2,2,8,2
F16C3.4,1,3,0,0,1,1,1,1
rsd-6,805,3929,920,180,161,132,177,145
tbcd-1,1167,1109,612,202,105,161,9,15
F16D3.6,1,0,3,0,1,1,1,1
ser-5,1,35,9,2,1,1,1,1
F16H11.1,3,27,6,9,1,8,2,1
ent-5,1520,962,841,567,36,34,3,7
nhr-45,12,14,8,3,1,4,1,1
clec-42,0,1,0,0,1,1,1,1
F16H6.9,2,7,2,7,1,2,1,1
F17A2.13,202,187,217,48,9,20,20,14
phf-32,52,81,28,16,1,1,1,1
ceh-40,289,194,272,154,10,5,1,3
F17A9.2,1447,1032,855,356,96,110,24,28
atf-8,2,4,6,7,1,1,1,1
F17A9.4,32,25,15,3,1,3,1,3
ceh-49,561,955,615,211,33,40,107,85
oac-17,0,0,0,1,1,1,1,1
ctf-4,2220,5951,2161,830,308,315,284,309
F17C11.11,0,6,1,4,1,1,1,1
F17C11.13,0,0,1,1,1,1,1,1
zip-9,24,11,38,5,2,3,2,10
F17C11.2,0,0,1,0,1,1,1,1
F17C11.22,4,6,0,0,1,1,1,1
F17C11.26,2,17,6,0,1,2,5,4
F17C11.4,63,116,18,6,1,1,1,1
F17C11.7,709,710,428,190,58,69,5,6
vps-36,558,563,322,158,28,34,4,7
eef-1G,15868,23066,13758,5409,395,503,2,60
acy-1,16,21,3,4,2,7,1,2
col-89,4,8,3,1,1,1,1,1
ras-2,0,1,0,0,1,2,1,1
F17C8.9,1,8,0,0,1,1,1,3
lin-2,26,18,8,1,1,3,1,1
F17E5.2,29,220,74,2,8,7,3,2
his-32,38,46,30,21,67,68,2,4
his-31,27,38,8,4,13,15,2,6
lgc-6,0,1,0,0,1,1,1,1
F17H10.1,345,260,155,110,14,21,1,1
snx-17,29,36,38,10,2,1,1,1
F18A1.1,0,2,1,0,1,1,1,1
lin-26,799,1661,766,206,115,108,6,13
lir-1,1168,1198,881,389,68,73,21,23
lir-2,176,304,162,37,23,18,20,40
rpa-1,4716,14237,4808,1268,389,356,602,606
alfa-1,1514,1750,927,338,65,97,3,13
F18A1.7,12828,26211,13880,5394,411,379,523,533
pid-1,869,1400,811,370,36,22,1,7
puf-6,2244,2331,1506,587,81,90,6,20
F18A11.2,0,0,0,2,1,1,1,1
F18A11.3,115,137,116,50,3,6,3,2
F18A11.5,3,5,0,0,1,1,1,1
F18A12.2,0,0,0,1,1,1,1,1
nep-10,0,2,1,0,1,3,1,1
F18A12.7,30,49,6,0,2,3,1,2
nep-11,0,2,3,0,2,2,2,1
che-3,3,6,7,3,1,5,1,1
rme-8,651,912,277,122,124,201,16,20
F18C12.3,635,569,340,238,30,24,19,15
F18C5.10,64,335,177,14,20,25,35,38
wrn-1,505,748,358,170,53,58,7,6
utp-20,1144,781,487,370,108,156,10,22
mpz-3,0,0,0,1,1,1,1,1
papl-1,0,3,0,0,1,1,1,1
abcf-1,1744,2923,1224,524,99,102,78,54
scc-3,1102,1249,543,220,105,124,7,6
srt-43,1,3,0,1,1,1,1,1
F18E3.13,0,1,0,0,1,1,1,1
F18E9.1,2,2,2,0,1,1,1,1
jmjd-3.1,2,8,1,3,3,4,1,3
F18F11.4,4,0,0,0,1,1,1,1
drl-1,33,121,37,6,12,4,7,7
F18G5.1,0,0,0,4,1,1,1,1
pes-8,0,1,0,0,1,1,1,1
lgc-4,1,0,0,0,1,1,1,1
F18G5.6,55,77,20,6,1,1,1,1
F18H3.1,215,283,160,92,5,3,4,7
pab-2,401,575,173,84,23,17,8,11
F18H3.4,268,1167,320,69,28,20,12,18
cdk-4,348,1697,465,79,27,16,62,54
F19B10.1,639,793,399,157,15,10,6,7
F19B10.10,676,1409,587,291,61,50,45,41
F19B10.11,0,2,1,7,2,1,1,1
F19B10.2,1209,1262,574,312,24,31,14,15
F19B10.5,51,90,37,27,4,11,1,1
srx-98,14,5,4,4,2,2,2,2
sea-1,1120,813,866,333,43,52,53,44
F19B2.6,0,0,3,0,1,1,1,1
F19B6.1,581,2197,887,151,138,189,51,61
ufd-1,1770,3630,1466,609,71,71,62,66
F19B6.3,1,2,0,0,1,1,1,1
grk-1,310,1068,261,73,58,66,43,29
F19C6.2,146,582,174,44,27,12,18,24
F19C6.5,0,0,0,2,1,1,1,1
F19C7.3,16,8,17,9,3,1,1,1
col-110,0,0,1,0,1,1,1,1
F19C7.8,0,0,2,0,1,1,1,1
F19F10.1,1,0,6,0,1,1,1,1
ets-6,1043,1846,997,394,90,129,28,27
F19F10.11,1184,1082,516,345,105,134,10,16
F19F10.12,586,2097,667,183,74,60,74,58
F19F10.9,1527,2874,1206,496,110,79,163,137
F19G12.9,2,4,0,0,1,1,1,1
F19H6.3,3,0,0,0,1,1,1,1
F19H6.4,612,1749,1075,247,64,60,34,28
F19H6.5,2,0,10,5,1,2,1,1
tps-2,18,22,7,4,3,1,1,1
mltn-10,0,0,0,1,1,1,1,1
F20A1.1,0,2,0,0,1,1,1,1
F20A1.2,13,15,17,3,1,1,2,1
tofu-2,527,667,508,192,30,25,13,8
nlr-1,16,29,12,4,3,4,1,2
F20B10.3,0,0,3,0,1,1,1,1
vha-12,1359,2138,976,387,108,139,16,29
mrp-6,2,5,4,1,1,3,1,1
F20B6.7,7,17,9,4,1,2,1,1
hpk-1,526,979,474,149,37,75,2,7
F20B6.9,1,0,6,1,1,1,1,1
F20C5.11,3,0,1,0,1,1,1,1
parg-1,581,1513,575,152,75,74,74,74
elli-1,131,319,293,86,87,80,1,10
F20C5.6,45,159,58,10,4,4,16,5
F20D1.1,378,2085,766,94,27,11,16,38
emre-1,59,36,62,21,2,2,4,1
tbc-1,988,1003,527,274,38,38,2,9
F20D1.3,1219,1369,810,496,37,41,3,12
plp-2,6,0,2,0,1,1,1,1
rbg-1,669,727,483,259,29,34,2,3
cutl-3,6,7,16,0,1,1,2,1
slc-25A18.1,157,235,157,28,7,9,3,3
F20D12.12,23,14,15,14,3,1,1,2
csr-1,499,877,440,128,76,77,4,24
F20D12.2,1293,2952,1123,414,198,171,153,100
bbs-2,1,0,0,0,1,1,1,1
czw-1,3632,5620,2862,1050,259,297,317,258
exc-9,22,19,35,13,2,3,1,1
ceh-19,1,0,4,4,2,2,1,1
F20D12.7,0,2,0,0,1,1,1,1
F20D6.10,4,15,17,2,1,3,1,1
F20D6.11,163,168,63,21,3,5,1,3
F20D6.12,0,0,0,1,1,1,1,1
srp-7,2632,2627,2372,738,161,135,193,151
srbc-27,1,0,0,0,1,1,1,1
F20G2.1,0,3,0,0,1,1,1,1
F20G2.2,235,187,235,113,13,7,13,8
F20G2.3,12,12,2,2,1,3,1,2
smgl-1,787,537,201,133,91,123,3,10
F20G4.2,11,26,2,3,8,6,1,3
nmy-2,5311,5802,2532,1542,537,976,32,96
F20H11.1,955,930,616,242,34,37,32,38
let-765,794,1029,424,268,270,457,126,129
mdh-2,2116,3657,1720,677,247,197,47,55
F20H11.4,11,11,3,2,1,1,1,1
ddo-3,3,0,0,0,1,1,1,1
myrf-2,381,1165,491,91,78,65,50,44
F21A3.3,2,3,9,0,1,1,1,1
F21A3.4,7,7,2,0,1,3,1,1
prde-1,75,142,36,25,1,6,1,4
lgc-31,17,17,16,2,1,1,2,1
F21A9.2,16,27,3,4,1,1,1,2
F21C10.10,327,239,306,139,11,7,3,4
F21C10.9,0,0,0,1,1,1,1,1
hint-1,819,848,742,304,30,32,12,12
rde-2,745,1442,830,224,69,69,78,57
pfd-6,796,1532,936,361,37,39,66,37
F21C3.6,0,6,2,1,1,1,1,1
nhr-21,99,90,106,34,8,6,1,1
npax-1,0,0,0,1,1,1,1,1
F21D5.1,3593,6685,2748,1063,217,299,31,63
otub-3,2069,4925,1868,582,165,97,185,146
F21D5.3,8,14,8,1,1,2,4,1
F21D5.4,165,88,88,29,4,12,2,1
F21D5.5,475,869,347,145,15,20,34,37
F21D5.6,894,1593,906,320,62,42,79,62
F21D5.7,1319,1605,903,282,86,68,71,76
mrps-33,219,242,188,114,19,9,1,1
F21D5.9,0,5,0,0,1,1,1,1
F21D9.2,11,1,0,0,1,1,1,1
pgal-1,3,0,4,0,1,1,1,1
F21F3.4,180,244,107,72,5,7,7,8
unc-38,2,6,0,2,1,1,1,1
F21F3.6,1484,2243,1285,397,76,71,69,84
F21F3.7,466,1505,328,61,14,17,6,1
slc-17.5,0,0,0,1,1,1,1,1
F21G4.1,0,1,1,2,2,1,1,1
mrp-4,5191,5092,2659,1177,503,723,8,91
phf-34,109,141,87,54,7,5,1,2
F21G4.5,4,12,0,6,2,3,1,1
F21G4.6,119,145,93,38,8,20,1,2
sax-2,1933,5018,1689,545,430,374,286,264
tbx-2,18,86,18,7,1,2,1,1
rbbp-5,1358,2075,974,341,88,83,140,118
ptc-2,1,1,0,0,3,1,1,1
fbf-2,146,319,146,51,7,10,1,4
tpp-2,1675,3115,1326,569,223,220,111,131
F21H7.5,0,5,0,0,1,1,1,1
his-64,66,67,75,33,165,249,11,14
his-63,19,19,20,9,144,205,16,27
gfat-2,183,181,44,27,8,20,1,1
evl-20,226,193,216,103,17,17,4,3
F22B5.10,1932,2847,1989,671,63,83,85,73
eif-3.G,258,328,308,142,36,39,14,20
cut-3,0,0,4,1,1,2,1,1
F22B5.5,0,3,8,3,1,1,1,1
F22B5.6,0,3,0,1,1,1,2,1
zyg-9,1510,2994,1268,591,218,214,65,74
fars-3,1107,1546,839,295,57,71,6,6
dpy-19,239,631,263,70,13,18,33,34
gpr-1,129,406,179,42,11,8,8,17
dnj-10,729,906,348,165,31,47,4,10
polk-1,1516,1335,782,440,46,70,8,5
F22B7.9,15,15,7,4,1,5,1,2
F22B8.7,175,230,118,92,7,16,4,5
ceh-38,1354,2064,991,299,153,174,125,143
flcn-1,223,852,262,51,91,75,58,64
malt-1,113,115,24,28,11,4,4,6
kin-14,40,58,29,7,2,1,3,1
col-60,10,0,0,0,1,1,1,1
gly-18,1,0,0,0,1,1,1,1
F22D6.15,0,2,0,0,1,1,1,1
F22D6.2,1700,3296,1544,387,191,188,45,38
nars-1,2756,2965,1621,843,101,141,36,48
nduf-6,799,816,711,292,27,29,19,10
prpf-4,1102,3140,1174,386,166,109,244,157
ekl-1,763,2378,844,232,85,90,99,76
F22D6.8,26,19,29,14,2,1,1,1
F22D6.9,64,101,48,21,4,8,1,1
pgp-14,7,0,0,0,1,1,1,1
cept-1,0,10,1,0,1,1,1,1
chw-1,5,1,0,0,1,1,1,1
F22E12.3,0,2,0,0,1,1,1,1
egl-9,278,228,135,72,20,21,1,2
F22E5.1,0,7,2,1,1,1,1,1
F22E5.17,1941,3153,1053,630,33,44,2,5
F22E5.20,5,12,5,4,1,2,1,1
F22E5.7,0,1,0,0,1,1,1,1
F22E5.9,222,161,127,100,26,33,2,1
hil-3,10,11,5,14,3,2,1,6
F22F1.2,6,16,15,3,1,1,1,1
inx-3,670,4300,1628,223,96,103,230,196
klp-13,898,0,0,0,1,1,1,1
ldp-1,571,407,190,119,43,24,1,6
F22F7.4,5,5,4,2,1,1,1,1
ckb-4,141,352,136,61,7,12,6,10
F22F7.7,31,45,26,9,6,5,1,4
pals-14,16,0,5,0,1,1,1,1
F22G12.3,0,0,1,0,1,1,1,1
F22G12.4,663,1390,427,203,46,48,31,34
F22G12.5,903,2901,865,389,297,274,62,86
F22H10.1,0,5,0,1,1,1,1,1
F23A7.1,1,3,7,4,1,1,1,1
F23A7.4,34568,70023,12190,7606,121,167,1,2
F23A7.5,3,1,0,0,1,1,1,1
F23A7.8,54689,51710,43422,21078,82,77,1,1
F23B12.4,105,150,133,41,5,2,1,1
dlat-1,3561,6879,2741,941,181,179,31,42
fntb-1,1028,4572,1254,301,93,65,141,119
F23B12.7,2234,2149,933,649,146,132,52,64
bmk-1,602,1099,528,285,57,68,16,16
pcp-2,0,0,1,0,1,1,1,1
rpb-12,528,1401,402,139,21,20,12,4
delm-1,0,1,0,0,1,1,1,1
daf-10,5,3,0,0,1,1,1,1
flp-1,0,8,0,3,1,1,1,1
aly-2,6503,10021,6318,2143,388,413,227,169
F23B2.7,1,2,5,0,1,1,1,1
F23C8.13,19,7,11,5,1,1,1,1
F23C8.14,0,0,1,0,1,1,1,1
F23C8.3,1,10,3,3,1,1,1,1
ubxn-1,2108,1747,836,593,53,49,1,32
F23C8.5,1706,3725,1366,694,85,77,115,82
did-2,686,1232,653,334,62,48,40,42
F23C8.7,7,2,0,0,1,1,1,1
F23C8.8,7,22,6,1,1,1,1,1
tipn-1,584,1074,399,179,41,25,34,38
F23D12.1,12,10,9,0,1,1,1,1
F23D12.10,106,166,42,31,4,7,4,3
F23D12.2,378,1075,331,108,56,48,34,23
F23D12.4,26,41,22,13,3,1,2,1
jmjd-3.2,31,17,11,3,3,1,1,2
fipr-3,7,2,0,0,1,1,1,1
F23F1.10,265,279,396,210,29,31,4,13
nfyc-1,2348,3535,1951,540,42,61,95,76
fbxc-54,54,35,18,10,5,4,1,1
F23F1.4,10,38,18,5,3,1,2,3
F23F1.5,589,3258,967,170,71,66,95,78
F23F1.6,5,0,4,0,1,2,1,1
F23F1.7,0,0,3,2,1,1,1,1
rpt-4,3465,10625,3063,1361,210,157,135,156
rpoa-49,644,620,539,209,33,49,6,14
sdz-15,1,23,6,8,1,1,2,2
rpt-3,3548,9580,4374,1510,217,165,276,287
F23F12.8,6,0,0,0,1,1,1,1
bra-2,830,1289,858,256,57,69,59,50
F23H11.2,516,1003,433,161,32,36,6,8
sucl-2,1766,2873,1920,573,72,78,75,66
F23H11.4,476,1068,392,166,52,40,52,55
F23H11.5,1237,2189,1362,612,67,42,20,31
F23H11.6,1,0,0,0,1,1,1,1
crls-1,1054,2022,1133,364,74,45,38,24
F23H12.10,0,0,2,0,1,1,1,1
tomm-20,930,764,615,294,32,45,4,7
F23H12.3,11,0,3,1,1,1,1,2
sqt-3,2,0,0,0,4,2,1,1
F23H12.5,5,1,0,0,1,1,1,1
F23H12.7,0,8,1,0,1,1,1,1
F25A2.1,2,0,0,0,1,1,1,1
ehbp-1,870,1623,821,304,142,137,48,56
F25B3.5,0,2,0,0,1,1,1,1
rtfo-1,2995,2906,2147,782,268,327,144,116
gcst-1,586,511,369,131,11,28,6,15
peli-1,263,890,303,72,51,40,49,36
F25B4.4,358,454,297,225,11,13,10,11
F25B4.5,821,2776,1003,227,139,100,91,84
hmgs-1,42,91,30,7,10,5,2,2
F25B4.7,731,666,357,197,29,41,1,3
dct-6,27,22,6,0,1,1,1,1
nop-1,874,2371,778,269,70,108,69,60
F25B5.3,2382,2839,1671,840,99,92,1,10
ubq-1,19696,37872,17806,6451,775,1111,1486,1371
F25B5.5,376,316,225,91,16,25,1,4
F25B5.6,1837,2241,1505,628,63,100,1,3
nono-1,1425,1951,865,327,79,69,102,107
unc-80,80,168,73,37,10,20,5,4
acs-12,0,9,0,1,2,1,1,1
ppm-1.A,1978,5261,1728,544,183,152,43,34
cup-2,1862,1486,1529,782,82,84,1,19
tag-353,1161,4685,1427,295,125,85,177,155
blmp-1,1,3,1,3,1,3,4,5
maph-1.2,595,591,299,189,43,52,1,34
F25D7.5,0,1,0,0,1,1,1,1
gtr-1,0,0,2,0,1,1,1,1
F25E2.2,0,0,1,0,1,1,1,1
ifd-2,8,0,2,0,4,1,2,1
daf-3,333,180,155,63,22,16,1,3
F25E5.1,337,1487,471,117,81,61,39,40
F25E5.2,3,12,2,0,1,1,1,1
F25E5.5,9,38,27,6,4,4,1,2
F25F2.1,2,5,1,1,1,1,1,1
