gene_name,1cell_A.x,1cell_B.x,2cell_A.x,2cell_B.x,1cell_A.y,1cell_B.y,2cell_B.y,2cell_A.y
R03H10.1,42,56,20,12,8,4,2,1
R03H10.11,12,7,3,5,1,2,1,1
R03H10.2,2,11,12,6,1,1,1,1
R03H10.6,1,7,0,0,3,2,1,1
bus-1,0,1,0,1,1,1,1,1
nrde-3,454,1734,835,177,89,99,175,125
R04A9.3,7,8,0,0,1,1,1,1
ife-2,503,1095,403,177,39,38,25,22
ceh-93,430,1034,379,96,30,18,19,16
R04A9.6,1,2,3,0,1,1,1,1
R04A9.7,3,3,5,0,1,1,1,1
R04A9.9,3,0,0,0,1,2,1,1
R04B3.2,99,108,52,26,2,3,1,1
R04B3.3,0,5,0,1,1,1,1,1
nhr-205,8,3,8,2,1,1,1,1
nhr-12,539,703,395,134,35,47,83,63
srd-49,0,0,2,0,1,1,1,1
R04D3.2,2287,4406,1494,709,63,91,14,23
R04D3.3,3892,2569,1284,863,214,270,1,16
R04D3.4,515,442,521,224,14,17,1,1
srd-36,0,1,0,0,1,1,1,1
srd-42,3,0,0,0,1,1,1,1
cnnm-2,1,0,0,0,1,1,1,1
R04E5.7,2,0,0,0,1,1,1,1
R04E5.8,180,421,204,42,47,41,3,12
R04E5.9,0,0,1,0,1,1,1,2
hpo-30,3,2,1,0,2,1,2,1
R04F11.2,1760,2242,1650,779,10,17,13,11
R04F11.3,1390,1615,956,449,94,112,30,21
twk-13,0,1,0,0,2,1,1,1
R04F11.5,446,231,226,146,27,28,4,1
mca-2,40,62,37,14,2,4,9,1
R05C11.4,4,26,0,4,2,3,1,1
daf-8,0,2,3,0,8,3,1,1
ran-4,1491,6322,2236,384,76,49,100,94
ddx-52,681,506,360,222,54,70,7,13
R05D11.5,544,362,373,210,23,44,1,3
paxt-1,989,1816,1088,298,34,49,28,34
snrp-27,1094,2424,709,304,80,60,55,46
edc-3,1229,3301,1064,341,179,141,24,47
R05D11.9,1860,2007,1648,513,126,115,90,120
met-2,850,2963,865,264,165,150,170,159
R05D3.12,527,580,292,149,51,59,13,29
R05D3.2,609,1046,390,126,72,94,5,7
R05D3.3,0,0,3,0,1,1,1,1
rfp-1,1860,4699,1413,312,183,179,188,172
unc-116,394,530,194,101,69,71,2,5
R05D3.8,479,1196,446,181,39,30,11,10
R05D3.9,5,26,28,1,2,2,3,2
R05D7.1,0,2,1,0,1,1,1,2
R05D7.3,5,18,0,2,1,1,1,1
abhd-11.2,340,488,236,85,24,10,10,11
R05D7.5,164,278,118,43,9,11,2,6
R05D7.7,10,4,9,5,2,6,1,1
sgt-1,4272,4410,2454,1106,105,143,1,24
R05F9.11,298,263,183,118,20,18,1,1
aagr-2,1,4,0,0,1,1,1,1
btbd-10,775,1187,461,175,58,69,5,13
gst-9,9,7,2,0,1,1,1,1
R05F9.6,1318,722,444,262,74,127,1,15
R05F9.9,515,389,313,114,43,37,1,6
R05G6.10,20,33,17,5,1,1,1,1
R05G6.4,318,688,309,83,46,27,71,48
R05G6.5,0,9,8,4,2,1,1,1
vdac-1,6921,12777,8074,2599,299,298,319,233
plc-4,746,703,410,164,42,52,7,16
R05G6.9,0,1,0,0,1,1,1,1
twk-49,3,6,0,5,1,1,1,1
R05G9.3,653,2440,881,207,39,36,61,76
R05G9R.1,2,1,1,1,1,1,1,1
